fips,state,pop_2019,date,total_doses_state_level,cum_deaths,confirmed,1st_dose,2nd_dose,est_booster_doses
47.0,Tennessee,6829174.0,2020-12-23,48692.0,6380.0,541240.0,48692.0,0.0,0.0
48.0,Texas,28995881.0,2020-12-23,83967.0,26580.0,1652488.0,83967.0,0.0,0.0
49.0,Utah,3205958.0,2020-12-23,14822.0,871.0,198304.0,14822.0,0.0,0.0
50.0,Vermont,623989.0,2020-12-23,5307.0,117.0,6680.0,5307.0,0.0,0.0
51.0,Virginia,8535519.0,2020-12-23,19943.0,4760.0,319133.0,19943.0,0.0,0.0
53.0,Washington,7614893.0,2020-12-23,43025.0,3162.0,230202.0,43025.0,0.0,0.0
54.0,West Virginia,1792147.0,2020-12-23,15914.0,1194.0,75936.0,15914.0,0.0,0.0
55.0,Wisconsin,5822434.0,2020-12-23,32328.0,4953.0,500443.0,32328.0,0.0,0.0
56.0,Wyoming,578759.0,2020-12-23,2865.0,373.0,42664.0,2865.0,0.0,0.0
1.0,Alabama,4903185.0,2020-12-24,5181.0,4676.0,338801.0,5181.0,0.0,0.0
2.0,Alaska,731545.0,2020-12-24,11002.0,199.0,45122.0,11002.0,0.0,0.0
5.0,Arkansas,3017804.0,2020-12-24,4000.0,3406.0,211145.0,4000.0,0.0,0.0
8.0,Colorado,5758736.0,2020-12-24,55778.0,4550.0,319530.0,55778.0,0.0,0.0
9.0,Connecticut,3565287.0,2020-12-24,7761.0,5791.0,172743.0,7761.0,0.0,0.0
10.0,Delaware,973764.0,2020-12-24,7420.0,998.0,53015.0,7420.0,0.0,0.0
12.0,Florida,21477737.0,2020-12-24,105430.0,20995.0,1247546.0,105430.0,0.0,0.0
13.0,Georgia,10617423.0,2020-12-24,26010.0,10582.0,618576.0,26010.0,0.0,0.0
16.0,Idaho,1787065.0,2020-12-24,8490.0,1349.0,135233.0,8490.0,0.0,0.0
21.0,Kentucky,4467673.0,2020-12-24,11192.0,2466.0,250279.0,11192.0,0.0,0.0
22.0,Louisiana,4648794.0,2020-12-24,32766.0,7272.0,296499.0,32766.0,0.0,0.0
23.0,Maine,1344212.0,2020-12-24,15701.0,317.0,21226.0,15701.0,0.0,0.0
